Tweets,Case_Folding,Clean_Data,Tweet_Normal;;;;;;
@RacunBelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,@racunbelanja semenjak ada shopeefood gojek grab gw unins ckck pengen beli ini mager banget install gojek lagi ckck,semenjak ada shopeefood;;;;;;
"Kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. 

Gitu terus sampe nanti sore.,""kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan. ";;;;;;
;;;;;;
"gitu terus sampe nanti sore."",kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi ndak mood makan gitu terus sampe nanti sore,kembali ke scroll scroll gofood grabfood shopeefood aja terus tapi tidak mood makan begitu terus sampai nanti sore";;;;;;
"Seberapa gak gunanya kegiatan lo dihari weekend?
Gue scroll shopeefood berjam-jam tp gak ada yg di checkout,""seberapa gak gunanya kegiatan lo dihari weekend?";;;;;;
"gue scroll shopeefood berjam-jam tp gak ada yg di checkout"",seberapa gak gunanya kegiatan lo dihari weekend gue scroll shopeefood berjamjam tp gak ada yg di checkout,seberapa tidak gunanya kegiatan kamu dihari weekend saya scroll shopeefood berjamjam tapi tidak ada yang di checkout";;;;;;
"andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣,""andai aku nagita slavina, mo pesen shopeefood pasti ga nunggu voucher promo dulu🤣"",andai aku nagita slavina mo pesen shopeefood pasti ga nunggu voucher promo dulu,andai saya nagita slavina mau pesan shopeefood pasti tidak nunggu voucher promo dulu";;;;;;
Bj takde coffee ke aduh kena game dgn ShopeeFood,bj takde coffee ke aduh kena game dgn shopeefood,bj takde coffee ke aduh kena game dgn shopeefood,bj takde coffee ke aduh kena game dengan shopeefood;;;;;;
"pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. 

lalu cs @ShopeeID menyerah dan minta email sebagai prosedur yang saya sudah hapal banget. 

Drivernya? 
keberatan... duitnya gak mau dibalikin. 
yang penting dia dapat feenya.,""pesanan @shopeefood_id  gak datang uang hilang lah dan pesanan gak datang. ";;;;;;
;;;;;;
