Tweets,Case_Folding,Data_Cleaning
"Jangan lupa Klaim Vocher ShopeeFood km 😗

https://t.co/tCA2ilgUvH","jangan lupa klaim vocher shopeefood km 😗

https://t.co/tca2ilguvh",jangan lupa klaim vocher shopeefood km
"lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aQxkPD0Jze","lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aqxkpd0jze",lunas ya dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja
"Shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya","shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya",shopeefood parah sih ini emang baru kali ini beli mekdi harganya turun jauh dari harga aslinya
"Rencana kirim makanan pake shopeefood, eh ketiduran :(
Astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. Bisa2 nya ketidurannn wkwk 🤣🤣🤣","rencana kirim makanan pake shopeefood, eh ketiduran :(
astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. bisa2 nya ketidurannn wkwk 🤣🤣🤣",rencana kirim makanan pake shopeefood eh ketiduran astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan bisa nya ketidurannn wkwk
"@jogmfs Order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin","@jogmfs order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin",order shopeefood warmindo elephant nder aku lgi ngalong disini kali aja nyantol mayan bantu tutup poin
@uniquerls @sicutgeulis @shopeefood_id Bakal ada di bulan november / desember kak ditunggu aja,@uniquerls @sicutgeulis @shopeefood_id bakal ada di bulan november / desember kak ditunggu aja,id bakal ada di bulan november desember kak ditunggu aja
"ada voucher shopeefood juga
disc 50% max 18k 
disc 30% max 18k
udah sama vc gratis ongkirnya
fee 5k ya btw soalnya 2 vc yg dipake
vc shopeefood 
#zonauang #zonajajan #zonaba https://t.co/UPUv5ZNT1G","ada voucher shopeefood juga
disc 50% max 18k 
disc 30% max 18k
udah sama vc gratis ongkirnya
fee 5k ya btw soalnya 2 vc yg dipake
vc shopeefood 
#zonauang #zonajajan #zonaba https://t.co/upuv5znt1g",ada voucher shopeefood juga disc max k disc max k udah sama vc gratis ongkirnya fee k ya btw soalnya vc yg dipake vc shopeefood
"Apaka warung q harus kaya gini? 😂 
Udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/eMQ1D0fn8K","apaka warung q harus kaya gini? 😂 
udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/emq1d0fn8k",apaka warung q harus kaya gini udah nebak orderan pake nama cust krna driver pake jas gojek ternyata dia ambil orderan shopeefood
"@deakrn_ @sbyfess Ndang dibuka shopeefood e wes awe awe
Scroll sejam sek trs keturon 👍","@deakrn_ @sbyfess ndang dibuka shopeefood e wes awe awe
scroll sejam sek trs keturon 👍",ndang dibuka shopeefood e wes awe awe scroll sejam sek trs keturon
"@ShopeeID @ShopeeCare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? Padahal terakhir cuma pesen shopeefood. Gimanaaa nih bisa balik gaaa????","@shopeeid @shopeecare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? padahal terakhir cuma pesen shopeefood. gimanaaa nih bisa balik gaaa????",hoee admin ini kenapa deh kok akun aku tiba tiba dibatasi padahal terakhir cuma pesen shopeefood gimanaaa nih bisa balik gaaa
